studyArea,simObject,runID,gcm,ssp,gid
AB,simOutPreamble,,CCSM4,85,1_uE5DsjvSDmcRJxoNCs5izr2uYtGSImy
AB,simOutPreamble,,CNRM-ESM2-1,370,1BjUz090_-SKbksYm9FLteu2O439TDYR7
AB,simOutPreamble,,CanESM5,370,1R1VNi2-cenyMhFuidDIwuLzg4S1HG17h
AB,biomassMaps2001,,"",,1cU2e0GFE4Ti_E5vBQy9TTXU-mzRL3xjV
AB,biomassMaps2011,,"",,1bMkZQnW4ELiy7la1etMAGFA7O33ooE-h
AB,fSsimDataPrep,,"",,1qwEw_NvXfqpZSrILmT9ZOORRLXF6DuI3
AB,ignitionOut,,"",,1a_qSsjyNlb-NNMT63cNhn25u62MRwGRH
AB,escapeOut,,"",,1qv-wPPxljrjHVQRZ2V6Y2NsC8iQ9T-5i
AB,spreadOut,1,"",,1JAvixAy_ha3uVNiQ4ZI1ITwTBoNwNLoo
AB,spreadOut,2,"",,1adALylAQLR6M0f1SEcfKdIYZd53f9WhJ
AB,spreadOut,3,"",,1KKakL6lKkNZ8OkGItgh4tdv6iMPsXEha
AB,spreadOut,4,"",,1yi7qZtaiinpOOvaXfNrKMBVHsCsyuBbE
AB,spreadOut,5,"",,1yBYf-K-zClYtAve56UvfyRnyCyKpd0YI
AB,results,,"",,1Y3bMg0HgETSUni86aYCx5NbA2-FSPqqe
BC,simOutPreamble,,CCSM4,85,1edMzH3E4q1f7kdmdSRFcuEEE1MdegUWc
BC,simOutPreamble,,CNRM-ESM2-1,370,1PMUV3NKM0HPqW2qSvpw0SlbBSZOl5Woj
BC,biomassMaps2001,,"",,12iGj3nAgr5fdKidf5ru32A6voCVC-qQx
BC,biomassMaps2011,,"",,18xPAviLGUuN8XFINLBDmpAkKBh-C0ybV
BC,fSsimDataPrep,,"",,1fCvpQ7w6-jjyLB7kjKL6L5d1dfyOaIkJ
BC,ignitionOut,,"",,1KHqrLDetEPrcHXgbd5FvDXxrc4LOXBl_
BC,escapeOut,,"",,18Xmo72ZhDoDRXSv1BFrhBJp4sqQnbZsx
BC,spreadOut,1,"",,1yuFyFMJS3pJe0RSxi7GRQBoZXXj4TjBB
BC,results,,"",,1-6KCdlNmIo2pupGpUSrWPKz8G9t4KLb2
MB,simOutPreamble,,CCSM4,85,1WznBdEwuo9lBK1xkOw9P84dKrcn3OasT
MB,simOutPreamble,,CNRM-ESM2-1,370,1Mq7tenlkP3ElMz3j9JO3quBgGnpN_Xac
MB,simOutPreamble,,CanESM5,370,1QwK3P_r5W0TNdhV7H4NbBhk3peEmYD9f
MB,biomassMaps2001,,"",,1PqeJWDh1ZBVHPokqJ9Hjmr0ZBEUbNHKi
MB,biomassMaps2011,,"",,1xC9pSM3P22106uN4XekTWlE7lpYgP5_I
MB,fSsimDataPrep,,"",,1CDV5a-0IXJA0cJWroqSmkJGJQBUTRSxS
MB,ignitionOut,,"",,1u7LBgwWi23YnpmN2xLdt8Og1tNHkS4xq
MB,escapeOut,,"",,1fYvOci3zofb4yRluiaTl6NrVFFa738Yc
