"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"abind","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.4-5",NA,NA,NA,NA
"amc","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.2.1","amc","achubaty","development","15c5229951700f9a638fd186f176f0e793d76c10"
"animation","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.7",NA,NA,NA,NA
"archive","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.1.4",NA,NA,NA,NA
"arm","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.12-2",NA,NA,NA,NA
"askpass","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.1",NA,NA,NA,NA
"assertthat","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.2.1",NA,NA,NA,NA
"backports","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.4.1",NA,NA,NA,NA
"base64enc","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.1-3",NA,NA,NA,NA
"BH","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.78.0-0",NA,NA,NA,NA
"bit","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","4.0.4",NA,NA,NA,NA
"bit64","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","4.0.5",NA,NA,NA,NA
"bitops","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.0-7",NA,NA,NA,NA
"blme","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.0-5",NA,NA,NA,NA
"blob","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.2.2",NA,NA,NA,NA
"brio","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.1.3",NA,NA,NA,NA
"broom","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.7.12",NA,NA,NA,NA
"broom.mixed","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.2.7",NA,NA,NA,NA
"bslib","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.3.1",NA,NA,NA,NA
"cachem","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.0.6",NA,NA,NA,NA
"callr","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","3.7.0",NA,NA,NA,NA
"car","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","3.0-12",NA,NA,NA,NA
