"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"abind","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.4-5",NA,NA,NA,NA
"amc","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.2.1","amc","achubaty","development","15c5229951700f9a638fd186f176f0e793d76c10"
"animation","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.7",NA,NA,NA,NA
"archive","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.1.4",NA,NA,NA,NA
"arm","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.12-2",NA,NA,NA,NA
"askpass","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.1",NA,NA,NA,NA
"assertthat","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.2.1",NA,NA,NA,NA
"backports","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.4.1",NA,NA,NA,NA
"base64enc","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.1-3",NA,NA,NA,NA
"BH","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.78.0-0",NA,NA,NA,NA
"bit","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","4.0.4",NA,NA,NA,NA
"bit64","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","4.0.5",NA,NA,NA,NA
"bitops","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.0-7",NA,NA,NA,NA
"blme","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.0-5",NA,NA,NA,NA
"blob","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.2.2",NA,NA,NA,NA
"brew","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.0-7",NA,NA,NA,NA
"brio","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.1.3",NA,NA,NA,NA
"broom","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.7.12",NA,NA,NA,NA
"broom.mixed","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.2.7",NA,NA,NA,NA
"bslib","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.3.1",NA,NA,NA,NA
"cachem","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.0.6",NA,NA,NA,NA
"callr","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","3.7.0",NA,NA,NA,NA
"car","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","3.0-12",NA,NA,NA,NA
"carData","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","3.0-5",NA,NA,NA,NA
"checkmate","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.0.0",NA,NA,NA,NA
"CircStats","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.2-6",NA,NA,NA,NA
"classInt","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.4-3",NA,NA,NA,NA
"cli","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","3.2.0",NA,NA,NA,NA
"climateData","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.0.0.9005","climateData","PredictiveEcology","development","fcf7b09d80c45a05f7b149d616272319e860892b"
"clipr","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.7.1",NA,NA,NA,NA
"coda","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.19-4",NA,NA,NA,NA
"colorspace","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.0-2",NA,NA,NA,NA
